PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupId,PersonId,GroupSize,IsAlone,IsFirstInGroup,IsLastInGroup,Deck,CabinNum,Side,DeckGroup,Surname,NameLength,FamilySize,HasFamily,TotalSpending,HasSpending,SpendingDiversity,AvgSpending,MaxSpending,RoomService_Ratio,FoodCourt_Ratio,ShoppingMall_Ratio,Spa_Ratio,VRDeck_Ratio,log_RoomService,log_FoodCourt,log_ShoppingMall,log_Spa,log_VRDeck,log_TotalSpending,AgeGroup,IsChild,IsTeen,IsAdult,IsElderly,Age_TotalSpending,CryoSleep_NoSpending,VIP_HighSpending,CabinEven,CabinSection,FamilySpendingPerPerson,SpendingRankInGroup,AgeRankInGroup
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,1,1,1,1,1,B,0,P,Group_AB,Ofracculy,15,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiddleAge,0,0,1,0,0.0,0,0,1,Unknown,0.0,1.0,1.0
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,2,1,1,1,1,1,F,0,S,Group_FG,Vines,12,1,0,736.0,1,5,147.2,549.0,0.14789687924016282,0.012211668928086838,0.033921302578018994,0.7449118046132972,0.05970149253731343,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,6.602587892189336,YoungAdult,0,0,1,0,17664.0,0,0,1,Unknown,736.0,1.0,1.0
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,3,1,2,0,1,0,A,0,S,Group_A,Susent,13,2,1,10383.0,1,4,2076.6,6715.0,0.0041409861325115566,0.3443759630200308,0.0,0.6466679506933745,0.004718798151001541,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,9.248021438943871,Senior,0,0,1,1,602214.0,0,1,1,Unknown,5191.5,1.0,1.0
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,3,2,2,0,0,1,A,0,S,Group_A,Susent,12,2,1,5176.0,1,4,1035.2,3329.0,0.0,0.24782692679157814,0.07166312536217886,0.6430365076299015,0.03728027815337068,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,8.551981016901902,MiddleAge,0,0,1,0,170808.0,0,0,1,Unknown,2588.0,2.0,2.0
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,4,1,1,1,1,1,F,1,S,Group_FG,Santantines,17,1,0,1091.0,1,5,218.2,565.0,0.2774725274725275,0.0641025641025641,0.1382783882783883,0.5173992673992674,0.0018315018315018315,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,6.9957661563048505,Teen,0,1,0,0,17456.0,0,0,0,0-100,1091.0,1.0,1.0
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,5,1,1,1,1,1,F,0,P,Group_FG,Hinetthews,17,1,0,774.0,1,2,154.8,483.0,0.0,0.6232258064516129,0.0,0.37548387096774194,0.0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,6.652863029353347,MiddleAge,0,0,1,0,34056.0,0,0,1,Unknown,774.0,1.0,1.0
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,6,1,2,0,1,0,F,2,S,Group_FG,Jacostaffey,18,2,1,1584.0,1,3,316.8,1539.0,0.026498422712933754,0.9709779179810726,0.0018927444794952682,0.0,0.0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,7.368339686311381,YoungAdult,0,0,1,0,41184.0,0,0,1,0-100,792.0,1.0,2.0
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,6,2,2,0,0,1,G,0,S,Group_FG,Jacostaffey,18,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungAdult,0,0,1,0,0.0,1,0,1,Unknown,0.0,2.0,1.0
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,7,1,1,1,1,1,F,3,S,Group_FG,Beston,13,1,0,1018.0,1,3,203.6,785.0,0.0,0.7703631010794897,0.016683022571148183,0.21197252208047104,0.0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,6.926577033222725,MiddleAge,0,0,1,0,35630.0,0,0,0,0-100,1018.0,1.0,1.0
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,8,1,3,0,1,0,B,1,P,Group_AB,Flatic,14,3,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Teen,0,1,0,0,0.0,1,0,0,0-100,0.0,2.0,3.0
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,8,2,3,0,0,0,B,1,P,Group_AB,Flatic,14,3,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiddleAge,0,0,1,0,0.0,1,0,0,0-100,0.0,2.0,2.0
